Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Type
Q9UH92	MLX_HUMAN	reviewed	Max-like protein X (Class D basic helix-loop-helix protein 13) (bHLHd13) (Max-like bHLHZip protein) (Protein BigMax) (Transcription factor-like protein 4)	MLX BHLHD13 TCFL4	Homo sapiens (Human)	298	TFs
P15172	MYOD1_HUMAN	reviewed	Myoblast determination protein 1 (Class C basic helix-loop-helix protein 1) (bHLHc1) (Myogenic factor 3) (Myf-3)	MYOD1 BHLHC1 MYF3 MYOD	Homo sapiens (Human)	320	TFs
O14503	BHE40_HUMAN	reviewed	Class E basic helix-loop-helix protein 40 (bHLHe40) (Class B basic helix-loop-helix protein 2) (bHLHb2) (Differentially expressed in chondrocytes protein 1) (DEC1) (Enhancer-of-split and hairy-related protein 2) (SHARP-2) (Stimulated by retinoic acid gene 13 protein)	BHLHE40 BHLHB2 DEC1 SHARP2 STRA13	Homo sapiens (Human)	412	TFs
Q05195	MAD1_HUMAN	reviewed	Max dimerization protein 1 (Max dimerizer 1) (Protein MAD)	MXD1 MAD	Homo sapiens (Human)	221	TFs
P12980	LYL1_HUMAN	reviewed	Protein lyl-1 (Class A basic helix-loop-helix protein 18) (bHLHa18) (Lymphoblastic leukemia-derived sequence 1)	LYL1 BHLHA18	Homo sapiens (Human)	280	TFs
O14948	TFEC_HUMAN	reviewed	Transcription factor EC (TFE-C) (Class E basic helix-loop-helix protein 34) (bHLHe34) (Transcription factor EC-like) (hTFEC-L)	TFEC BHLHE34 TCFEC TFECL	Homo sapiens (Human)	347	TFs
Q8WYA1	BMAL2_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator-like protein 2 (Basic-helix-loop-helix-PAS protein MOP9) (Brain and muscle ARNT-like 2) (CYCLE-like factor) (CLIF) (Class E basic helix-loop-helix protein 6) (bHLHe6) (Member of PAS protein 9) (PAS domain-containing protein 9)	ARNTL2 BHLHE6 BMAL2 CLIF MOP9 PASD9	Homo sapiens (Human)	636	TFs
P50553	ASCL1_HUMAN	reviewed	Achaete-scute homolog 1 (ASH-1) (hASH1) (Class A basic helix-loop-helix protein 46) (bHLHa46)	ASCL1 ASH1 BHLHA46 HASH1	Homo sapiens (Human)	236	TFs
Q96HZ4	HES6_HUMAN	reviewed	Transcription cofactor HES-6 (C-HAIRY1) (Class B basic helix-loop-helix protein 41) (bHLHb41) (Hairy and enhancer of split 6)	HES6 BHLHB41	Homo sapiens (Human)	224	TFs
Q96RJ6	FER3L_HUMAN	reviewed	Fer3-like protein (Basic helix-loop-helix protein N-twist) (Class A basic helix-loop-helix protein 31) (bHLHa31) (Nephew of atonal 3) (Neuronal twist)	FERD3L BHLHA31 NATO3 NTWIST	Homo sapiens (Human)	166	TFs
P04198	MYCN_HUMAN	reviewed	N-myc proto-oncogene protein (Class E basic helix-loop-helix protein 37) (bHLHe37)	MYCN BHLHE37 NMYC	Homo sapiens (Human)	464	TFs
A6NI15	MSGN1_HUMAN	reviewed	Mesogenin-1 (Paraxial mesoderm-specific mesogenin1) (pMesogenin1) (pMsgn1)	MSGN1	Homo sapiens (Human)	193	TFs
Q13562	NDF1_HUMAN	reviewed	Neurogenic differentiation factor 1 (NeuroD) (NeuroD1) (Class A basic helix-loop-helix protein 3) (bHLHa3)	NEUROD1 BHLHA3 NEUROD	Homo sapiens (Human)	356	TFs
Q7RTU1	TCF23_HUMAN	reviewed	Transcription factor 23 (TCF-23) (Class A basic helix-loop-helix protein 24) (bHLHa24)	TCF23 BHLHA24	Homo sapiens (Human)	214	TFs
Q96NK8	NDF6_HUMAN	reviewed	Neurogenic differentiation factor 6 (NeuroD6) (Class A basic helix-loop-helix protein 2) (bHLHa2) (Protein atonal homolog 2)	NEUROD6 ATOH2 BHLHA2 My051	Homo sapiens (Human)	337	TFs
Q9BRJ9	MESP1_HUMAN	reviewed	Mesoderm posterior protein 1 (Class C basic helix-loop-helix protein 5) (bHLHc5)	MESP1 BHLHC5	Homo sapiens (Human)	268	TFs
Q02575	HEN1_HUMAN	reviewed	Helix-loop-helix protein 1 (HEN-1) (Class A basic helix-loop-helix protein 35) (bHLHa35) (Nescient helix loop helix 1) (NSCL-1)	NHLH1 BHLHA35 HEN1	Homo sapiens (Human)	133	TFs
Q92858	ATOH1_HUMAN	reviewed	Protein atonal homolog 1 (Class A basic helix-loop-helix protein 14) (bHLHa14) (Helix-loop-helix protein hATH-1) (hATH1)	ATOH1 ATH1 BHLHA14	Homo sapiens (Human)	354	TFs
Q96SQ7	ATOH8_HUMAN	reviewed	Protein atonal homolog 8 (Class A basic helix-loop-helix protein 21) (bHLHa21) (Helix-loop-helix protein hATH-6) (hATH6)	ATOH8 ATH6 BHLHA21	Homo sapiens (Human)	321	TFs
Q15784	NDF2_HUMAN	reviewed	Neurogenic differentiation factor 2 (NeuroD2) (Class A basic helix-loop-helix protein 1) (bHLHa1) (NeuroD-related factor) (NDRF)	NEUROD2 BHLHA1 NDRF	Homo sapiens (Human)	382	TFs
Q9HBZ2	ARNT2_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator 2 (ARNT protein 2) (Class E basic helix-loop-helix protein 1) (bHLHe1)	ARNT2 BHLHE1 KIAA0307	Homo sapiens (Human)	717	TFs
O15516	CLOCK_HUMAN	reviewed	Circadian locomoter output cycles protein kaput (hCLOCK) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 8) (bHLHe8)	CLOCK BHLHE8 KIAA0334	Homo sapiens (Human)	846	TFs
Q9HAP2	MLXIP_HUMAN	reviewed	MLX-interacting protein (Class E basic helix-loop-helix protein 36) (bHLHe36) (Transcriptional activator MondoA)	MLXIP BHLHE36 KIAA0867 MIR MONDOA	Homo sapiens (Human)	919	TFs
P19532	TFE3_HUMAN	reviewed	Transcription factor E3 (Class E basic helix-loop-helix protein 33) (bHLHe33)	TFE3 BHLHE33	Homo sapiens (Human)	575	TFs
Q9H2A3	NGN2_HUMAN	reviewed	Neurogenin-2 (NGN-2) (Class A basic helix-loop-helix protein 8) (bHLHa8) (Protein atonal homolog 4)	NEUROG2 ATOH4 BHLHA8 NGN2	Homo sapiens (Human)	272	TFs
Q92886	NGN1_HUMAN	reviewed	Neurogenin-1 (NGN-1) (Class A basic helix-loop-helix protein 6) (bHLHa6) (Neurogenic basic-helix-loop-helix protein) (Neurogenic differentiation factor 3) (NeuroD3)	NEUROG1 BHLHA6 NEUROD3 NGN NGN1	Homo sapiens (Human)	237	TFs
Q8NFJ8	BHE22_HUMAN	reviewed	Class E basic helix-loop-helix protein 22 (bHLHe22) (Class B basic helix-loop-helix protein 5) (bHLHb5) (Trinucleotide repeat-containing gene 20 protein)	BHLHE22 BHLHB5 TNRC20	Homo sapiens (Human)	381	TFs
Q9NP71	MLXPL_HUMAN	reviewed	Carbohydrate-responsive element-binding protein (ChREBP) (Class D basic helix-loop-helix protein 14) (bHLHd14) (MLX interactor) (MLX-interacting protein-like) (WS basic-helix-loop-helix leucine zipper protein) (WS-bHLH) (Williams-Beuren syndrome chromosomal region 14 protein)	MLXIPL BHLHD14 MIO WBSCR14	Homo sapiens (Human)	852	TFs
O60682	MUSC_HUMAN	reviewed	Musculin (Activated B-cell factor 1) (ABF-1) (Class A basic helix-loop-helix protein 22) (bHLHa22)	MSC ABF1 BHLHA22	Homo sapiens (Human)	206	TFs
Q02577	HEN2_HUMAN	reviewed	Helix-loop-helix protein 2 (HEN-2) (Class A basic helix-loop-helix protein 34) (bHLHa34) (Nescient helix loop helix 2) (NSCL-2)	NHLH2 BHLHA34 HEN2 KIAA0490	Homo sapiens (Human)	135	TFs
P50539	MXI1_HUMAN	reviewed	Max-interacting protein 1 (Max interactor 1) (Class C basic helix-loop-helix protein 11) (bHLHc11)	MXI1 BHLHC11	Homo sapiens (Human)	228	TFs
Q99929	ASCL2_HUMAN	reviewed	Achaete-scute homolog 2 (ASH-2) (hASH2) (Class A basic helix-loop-helix protein 45) (bHLHa45) (Mash2)	ASCL2 BHLHA45 HASH2	Homo sapiens (Human)	193	TFs
Q6QHK4	FIGLA_HUMAN	reviewed	Factor in the germline alpha (FIGalpha) (Class C basic helix-loop-helix protein 8) (bHLHc8) (Folliculogenesis-specific basic helix-loop-helix protein) (Transcription factor FIGa)	FIGLA BHLHC8	Homo sapiens (Human)	219	TFs
Q9UL49	TCFL5_HUMAN	reviewed	Transcription factor-like 5 protein (Cha transcription factor) (HPV-16 E2-binding protein 1) (E2BP-1)	TCFL5 CHA E2BP1	Homo sapiens (Human)	500	TFs
Q16559	TAL2_HUMAN	reviewed	T-cell acute lymphocytic leukemia protein 2 (TAL-2) (Class A basic helix-loop-helix protein 19) (bHLHa19)	TAL2 BHLHA19	Homo sapiens (Human)	108	TFs
Q14582	MAD4_HUMAN	reviewed	Max dimerization protein 4 (Max dimerizer 4) (Class C basic helix-loop-helix protein 12) (bHLHc12) (Max-associated protein 4) (Max-interacting transcriptional repressor MAD4)	MXD4 BHLHC12 MAD4	Homo sapiens (Human)	209	TFs
Q9Y5J3	HEY1_HUMAN	reviewed	Hairy/enhancer-of-split related with YRPW motif protein 1 (Cardiovascular helix-loop-helix factor 2) (CHF-2) (Class B basic helix-loop-helix protein 31) (bHLHb31) (HES-related repressor protein 1) (Hairy and enhancer of split-related protein 1) (HESR-1) (Hairy-related transcription factor 1) (HRT-1) (hHRT1)	HEY1 BHLHB31 CHF2 HERP2 HESR1 HRT1	Homo sapiens (Human)	304	TFs
Q0VG99	MESP2_HUMAN	reviewed	Mesoderm posterior protein 2 (Class C basic helix-loop-helix protein 6) (bHLHc6)	MESP2 BHLHC6 SCDO2	Homo sapiens (Human)	397	TFs
Q7RTU7	SCX_HUMAN	reviewed	Basic helix-loop-helix transcription factor scleraxis (Class A basic helix-loop-helix protein 41) (bHLHa41) (Class A basic helix-loop-helix protein 48) (bHLHa48)	SCX BHLHA41 BHLHA48 SCXA SCXB	Homo sapiens (Human)	201	TFs
A6NFD8	HELT_HUMAN	reviewed	Hairy and enhancer of split-related protein HELT (HES/HEY-like transcription factor)	HELT	Homo sapiens (Human)	242	TFs
P19484	TFEB_HUMAN	reviewed	Transcription factor EB (Class E basic helix-loop-helix protein 35) (bHLHe35)	TFEB BHLHE35	Homo sapiens (Human)	476	TFs
Q6XD76	ASCL4_HUMAN	reviewed	Achaete-scute homolog 4 (ASH-4) (hASH4) (Achaete-scute-like protein 4) (Class A basic helix-loop-helix protein 44) (bHLHa44)	ASCL4 BHLHA44 HASH4	Homo sapiens (Human)	172	TFs
P36956	SRBP1_HUMAN	reviewed	Sterol regulatory element-binding protein 1 (SREBP-1) (Class D basic helix-loop-helix protein 1) (bHLHd1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1]	SREBF1 BHLHD1 SREBP1	Homo sapiens (Human)	1147	TFs
P27540	ARNT_HUMAN	reviewed	Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Class E basic helix-loop-helix protein 2) (bHLHe2) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)	ARNT BHLHE2	Homo sapiens (Human)	789	TFs
P61244	MAX_HUMAN	reviewed	Protein max (Class D basic helix-loop-helix protein 4) (bHLHd4) (Myc-associated factor X)	MAX BHLHD4	Homo sapiens (Human)	160	TFs
P61296	HAND2_HUMAN	reviewed	Heart- and neural crest derivatives-expressed protein 2 (Class A basic helix-loop-helix protein 26) (bHLHa26) (Deciduum, heart, autonomic nervous system and neural crest derivatives-expressed protein 2) (dHAND)	HAND2 BHLHA26 DHAND	Homo sapiens (Human)	217	TFs
Q12772	SRBP2_HUMAN	reviewed	Sterol regulatory element-binding protein 2 (SREBP-2) (Class D basic helix-loop-helix protein 2) (bHLHd2) (Sterol regulatory element-binding transcription factor 2) [Cleaved into: Processed sterol regulatory element-binding protein 2]	SREBF2 BHLHD2 SREBP2	Homo sapiens (Human)	1141	TFs
Q7RTU3	OLIG3_HUMAN	reviewed	Oligodendrocyte transcription factor 3 (Oligo3) (Class B basic helix-loop-helix protein 7) (bHLHb7) (Class E basic helix-loop-helix protein 20) (bHLHe20)	OLIG3 BHLHB7 BHLHE20	Homo sapiens (Human)	272	TFs
O43680	TCF21_HUMAN	reviewed	Transcription factor 21 (TCF-21) (Capsulin) (Class A basic helix-loop-helix protein 23) (bHLHa23) (Epicardin) (Podocyte-expressed 1) (Pod-1)	TCF21 BHLHA23 POD1	Homo sapiens (Human)	179	TFs
P22415	USF1_HUMAN	reviewed	Upstream stimulatory factor 1 (Class B basic helix-loop-helix protein 11) (bHLHb11) (Major late transcription factor 1)	USF1 BHLHB11 USF	Homo sapiens (Human)	310	TFs
Q9UBP5	HEY2_HUMAN	reviewed	Hairy/enhancer-of-split related with YRPW motif protein 2 (Cardiovascular helix-loop-helix factor 1) (hCHF1) (Class B basic helix-loop-helix protein 32) (bHLHb32) (HES-related repressor protein 2) (Hairy and enhancer of split-related protein 2) (HESR-2) (Hairy-related transcription factor 2) (HRT-2) (hHRT2) (Protein gridlock homolog)	HEY2 BHLHB32 CHF1 GRL HERP HERP1 HRT2	Homo sapiens (Human)	337	TFs
P81133	SIM1_HUMAN	reviewed	Single-minded homolog 1 (Class E basic helix-loop-helix protein 14) (bHLHe14)	SIM1 BHLHE14	Homo sapiens (Human)	766	TFs
Q8NDY6	BHE23_HUMAN	reviewed	Class E basic helix-loop-helix protein 23 (bHLHe23) (Class B basic helix-loop-helix protein 4) (bHLHb4)	BHLHE23 BHLHB4	Homo sapiens (Human)	225	TFs
P17542	TAL1_HUMAN	reviewed	T-cell acute lymphocytic leukemia protein 1 (TAL-1) (Class A basic helix-loop-helix protein 17) (bHLHa17) (Stem cell protein) (T-cell leukemia/lymphoma protein 5)	TAL1 BHLHA17 SCL TCL5	Homo sapiens (Human)	331	TFs
Q9NQ87	HEYL_HUMAN	reviewed	Hairy/enhancer-of-split related with YRPW motif-like protein (hHeyL) (Class B basic helix-loop-helix protein 33) (bHLHb33) (Hairy-related transcription factor 3) (HRT-3) (hHRT3)	HEYL BHLHB33 HRT3	Homo sapiens (Human)	328	TFs
Q8N100	ATOH7_HUMAN	reviewed	Protein atonal homolog 7 (Class A basic helix-loop-helix protein 13) (bHLHa13) (Helix-loop-helix protein hATH-5) (hATH5)	ATOH7 ATH5 BHLHA13	Homo sapiens (Human)	152	TFs
Q02535	ID3_HUMAN	reviewed	DNA-binding protein inhibitor ID-3 (Class B basic helix-loop-helix protein 25) (bHLHb25) (Helix-loop-helix protein HEIR-1) (ID-like protein inhibitor HLH 1R21) (Inhibitor of DNA binding 3) (Inhibitor of differentiation 3)	ID3 1R21 BHLHB25 HEIR1	Homo sapiens (Human)	119	TFs
P41134	ID1_HUMAN	reviewed	DNA-binding protein inhibitor ID-1 (Class B basic helix-loop-helix protein 24) (bHLHb24) (Inhibitor of DNA binding 1) (Inhibitor of differentiation 1)	ID1 BHLHB24 ID	Homo sapiens (Human)	155	TFs
Q7RTS3	PTF1A_HUMAN	reviewed	Pancreas transcription factor 1 subunit alpha (Class A basic helix-loop-helix protein 29) (bHLHa29) (Pancreas-specific transcription factor 1a) (bHLH transcription factor p48) (p48 DNA-binding subunit of transcription factor PTF1) (PTF1-p48)	PTF1A BHLHA29 PTF1P48	Homo sapiens (Human)	328	TFs
Q9Y543	HES2_HUMAN	reviewed	Transcription factor HES-2 (Class B basic helix-loop-helix protein 40) (bHLHb40) (Hairy and enhancer of split 2)	HES2 BHLHB40	Homo sapiens (Human)	173	TFs
Q5TGS1	HES3_HUMAN	reviewed	Transcription factor HES-3 (Class B basic helix-loop-helix protein 43) (bHLHb43) (Hairy and enhancer of split 3)	HES3 BHLHB43	Homo sapiens (Human)	186	TFs
P01106	MYC_HUMAN	reviewed	Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64)	MYC BHLHE39	Homo sapiens (Human)	439	TFs
Q5TA89	HES5_HUMAN	reviewed	Transcription factor HES-5 (Class B basic helix-loop-helix protein 38) (bHLHb38) (Hairy and enhancer of split 5)	HES5 BHLHB38	Homo sapiens (Human)	166	TFs
P47928	ID4_HUMAN	reviewed	DNA-binding protein inhibitor ID-4 (Class B basic helix-loop-helix protein 27) (bHLHb27) (Inhibitor of DNA binding 4) (Inhibitor of differentiation 4)	ID4 BHLHB27	Homo sapiens (Human)	161	TFs
Q8TAK6	OLIG1_HUMAN	reviewed	Oligodendrocyte transcription factor 1 (Oligo1) (Class B basic helix-loop-helix protein 6) (bHLHb6) (Class E basic helix-loop-helix protein 21) (bHLHe21)	OLIG1 BHLHB6 BHLHE21	Homo sapiens (Human)	271	TFs
Q13516	OLIG2_HUMAN	reviewed	Oligodendrocyte transcription factor 2 (Oligo2) (Class B basic helix-loop-helix protein 1) (bHLHb1) (Class E basic helix-loop-helix protein 19) (bHLHe19) (Protein kinase C-binding protein 2) (Protein kinase C-binding protein RACK17)	OLIG2 BHLHB1 BHLHE19 PRKCBP2 RACK17	Homo sapiens (Human)	323	TFs
Q7RTU4	BHA09_HUMAN	reviewed	Class A basic helix-loop-helix protein 9 (bHLHa9) (Class F basic helix-loop-helix factor 42) (bHLHf42)	BHLHA9 BHLHF42	Homo sapiens (Human)	235	TFs
P15923	TFE2_HUMAN	reviewed	Transcription factor E2-alpha (Class B basic helix-loop-helix protein 21) (bHLHb21) (Immunoglobulin enhancer-binding factor E12/E47) (Immunoglobulin transcription factor 1) (Kappa-E2-binding factor) (Transcription factor 3) (TCF-3) (Transcription factor ITF-1)	TCF3 BHLHB21 E2A ITF1	Homo sapiens (Human)	654	TFs
P12524	MYCL_HUMAN	reviewed	Protein L-Myc (Class E basic helix-loop-helix protein 38) (bHLHe38) (Protein L-Myc-1) (V-myc myelocytomatosis viral oncogene homolog)	MYCL BHLHE38 LMYC MYCL1	Homo sapiens (Human)	364	TFs
