sample	Subset
P52739.138...165	G1
P52756.150...163	G1
P53350.58...72	G1
P54725.9...33	G1
P54845.8...36	G1
P55039.1...20	G1
P55081.48...73	G1
P55263.4...29	G1
P56645.5...34	G1
P57071.638...655	G1
P57071.1299...1319	G1
P58546.9...33	G1
P60228.23...38	G1
P61088.10...26	G1
P61158.26...49	G1
P61201.52...61	G1
P61326.1...29	G1
P61964.5...19	G1
P62191.63...78	G1
P62258.23...37	G1
P62316.1...24	G1
P62745.129...138	G1
P62745.147...170	G1
P62875.1...37	G1
P62913.1...15	G1
P62979.1...26	G1
P62987.1...26	G1
P62993.2...28	G1
P62995.162...181	G1
P63096.1...25	G1
P63167.8...33	G1
P78317.9...34	G1
P78395.148...173	G1
P78426.29...35	G1
P80217.85...102	G1
P98170.13...36	G1
P98182.338...364	G1
Q00341.1...34	G1
Q00535.25...52	G1
Q00653.8...36	G1
Q01831.86...100	G1
Q01831.716...727	G1
Q01970.10...37	G1
Q02156.503...517	G1
Q02880.1565...1595	G1
Q03112.5...38	G1
Q03188.93...100	G1
Q03923.5...27	G1
Q03936.6...29	G1
Q04724.27...46	G1
Q04725.26...46	G1
Q06547.6...20	G1
Q08AN1.5...25	G1
Q12788.26...68	G1
Q12874.2...27	G1
Q13043.3...31	G1
Q13112.6...25	G1
Q13115.3...17	G1
Q13118.11...24	G1
Q13153.245...264	G1
Q13155.194...214	G1
Q13185.18...35	G1
Q13188.6...31	G1
Q13228.1...25	G1
Q13243.33...60	G1
Q13309.40...81	G1
Q13330.342...351	G1
Q13352.1...24	G1
Q13404.6...30	G1
Q13523.86...112	G1
Q13610.11...38	G1
Q13829.236...244	G1
Q14012.260...281	G1
Q14103.140...155	G1
Q14103.232...242	G1
Q14137.7...29	G1
Q14192.9...47	G1
Q14566.6...43	G1
Q14585.30...74	G1
Q14590.1...25	G1
Q14590.44...65	G1
Q14692.479...498	G1
Q14974.1...25	G1
Q15007.131...152	G1
Q15025.51...74	G1
Q15050.19...35	G1
Q15054.414...428	G1
Q15327.1...23	G1
Q15329.131...143	G1
Q15369.7...37	G1
Q15428.167...188	G1
Q15431.880...904	G1
Q15459.688...704	G1
Q15475.180...188	G1
Q15528.12...38	G1
Q15543.105...123	G1
Q15545.1...21	G1
Q15560.222...239	G1
Q15646.1...35	G1
Q15650.20...46	G1
Q15797.22...37	G1
Q15831.289...299	G1
Q15843.1...31	G1
Q16649.8...42	G1
Q2M1K9.1...21	G1
Q2NKJ3.13...34	G1
Q2TAY7.17...37	G1
Q3B726.313...325	G1
Q3MIS6.4...26	G1
Q3MIT2.56...79	G1
Q3SXZ3.8...29	G1
Q49AN0.560...577	G1
Q4W5G0.69...91	G1
Q52LR7.40...68	G1
Q53F19.419...434	G1
Q53GS7.19...42	G1
Q56P03.6...47	G1
Q5D1E8.1...36	G1
Q5D1E8.229...238	G1
Q5FWF5.176...199	G1
Q5MCW4.5...25	G1
Q5QGS0.23...38	G1
Q5SRE5.147...170	G1
Q5SVZ6.280...301	G1
Q5SZQ8.14...30	G1
Q5T1V6.20...38	G1
Q5T7W0.27...53	G1
Q5T890.254...260	G1
Q5TB80.37...70	G1
Q5TBB1.240...264	G1
Q5TYW1.58...74	G1
Q5VIY5.7...24	G1
Q5VIY5.92...115	G1
Q5VTR2.13...40	G1
Q68CJ6.224...241	G1
Q68J44.22...58	G1
Q69YH5.390...410	G1
Q6AZZ1.277...293	G1
Q6B0B8.21...37	G1
Q6FI81.19...34	G1
Q6IE81.236...244	G1
Q6IPU0.112...132	G1
Q6NYC1.214...224	G1
Q6NZY4.1...38	G1
Q6P1J9.118...143	G1
Q6P2H3.2...25	G1
Q6P2M8.1...28	G1
Q6P2M8.103...123	G1
Q6P9F0.38...68	G1
Q6PCB5.14...38	G1
Q6PF04.40...64	G1
Q6PI98.65...77	G1
Q6PIJ6.3...30	G1
Q6UX04.19...39	G1
Q6ZN06.7...24	G1
Q6ZN19.556...581	G1
Q6ZN32.54...73	G1
Q6ZNA1.10...30	G1
Q6ZNC4.21...40	G1
Q6ZRQ5.5...37	G1
Q6ZS27.90...105	G1
Q6ZSG1.322...339	G1
Q70EL2.9...35	G1
Q75QN2.26...43	G1
Q76FK4.974...986	G1
Q7L2R6.7...24	G1
Q7LG56.246...260	G1
Q7Z2W4.114...126	G1
Q7Z3B3.44...71	G1
Q7Z3G6.1...23	G1
Q7Z4I7.54...74	G1
Q7Z4I7.170...180	G1
Q7Z5K2.56...74	G1
Q86TG7.98...113	G1
Q86TI0.756...772	G1
Q86TM3.7...25	G1
Q86U06.2...20	G1
Q86VF2.21...36	G1
Q86VF2.161...188	G1
Q86WJ1.105...116	G1
Q86XI2.11...37	G1
Q86YV5.63...98	G1
Q86Z02.121...145	G1
Q8IU81.23...66	G1
Q8IU85.17...35	G1
Q8IUF8.6...41	G1
Q8IVI9.88...97	G1
Q8IWE4.259...282	G1
Q8IX01.1...34	G1
Q8IX06.19...33	G1
Q8IX15.1...22	G1
Q8IXJ9.23...44	G1
Q8IXM2.82...96	G1
Q8IY51.63...92	G1
Q8IY81.235...258	G1
Q8IYB9.6...24	G1
Q8IYM9.2...38	G1
Q8IYX4.1...21	G1
Q8IZD4.75...96	G1
Q8IZP0.1...31	G1
Q8IZQ8.103...124	G1
Q8N0S2.13...44	G1
Q8N0Z6.5...33	G1
Q8N184.50...77	G1
Q8N587.18...44	G1
Q8N7Q3.23...47	G1
Q8N801.58...66	G1
Q8N823.320...340	G1
Q8N8U2.144...166	G1
Q8N8Z8.25...37	G1
Q8N9N5.35...48	G1
Q8N9Z0.5...36	G1
Q8NAV1.164...177	G1
Q8NB12.1...21	G1
Q8NB42.20...36	G1
Q8NB91.19...36	G1
Q8NB91.122...129	G1
Q8NBT2.53...86	G1
Q8NDF8.106...138	G1
Q8NDX5.768...805	G1
Q8NE65.22...39	G1
Q8NFW8.89...105	G1
Q8NFW8.191...211	G1
Q8NG66.51...73	G1
Q8NHM5.882...898	G1
Q8NHM5.941...959	G1
Q8NHW3.10...37	G1
Q8NI08.708...735	G1
Q8TAD8.260...270	G1
Q8TAU0.150...164	G1
Q8TB69.2...26	G1
Q8TBM8.4...20	G1
Q8TD23.58...75	G1
Q8TD86.67...77	G1
Q8TDG2.93...121	G1
Q8TDN6.29...47	G1
Q8TDR2.232...249	G1
Q8TDR2.497...510	G1
Q8TDR4.1...18	G1
Q8TF39.57...77	G1
Q8WU10.32...66	G1
Q8WUX9.14...44	G1
Q8WV22.22...36	G1
Q8WVY7.64...91	G1
Q8WWL7.45...67	G1
Q8WY36.182...203	G1
Q92597.1...24	G1
Q92800.240...265	G1
Q92878.687...706	G1
Q92973.1...31	G1
Q969J2.1...26	G1
Q969P5.21...38	G1
Q969Q1.1...37	G1
Q96A56.6...42	G1
Q96AP4.1...40	G1
Q96BV0.27...42	G1
Q96C28.17...35	G1
Q96D70.178...197	G1
Q96DF8.19...46	G1
Q96E39.24...37	G1
Q96EA4.62...87	G1
Q96EA4.105...121	G1
Q96EZ8.12...34	G1
Q96F24.82...110	G1
Q96GD3.15...38	G1
Q96GE5.66...77	G1
Q96H20.22...42	G1
Q96H22.19...46	G1
Q96IR2.47...65	G1
Q96KQ7.17...36	G1
Q96LI6.86...110	G1
Q96LM6.77...101	G1
Q96MG7.218...229	G1
Q96MM3.221...227	G1
Q96NJ3.1...24	G1
Q96NJ3.146...158	G1
Q96NU1.160...180	G1
Q96P20.14...34	G1
Q96PU8.1...26	G1
Q96QD9.19...33	G1
Q96QE3.1446...1474	G1
Q96QF0.1...32	G1
Q96QU8.13...38	G1
Q96RQ1.8...28	G1
Q96SE7.59...69	G1
Q96SF7.21...46	G1
Q96T49.75...89	G1
Q96T68.6...38	G1
Q99504.4...31	G1
Q99504.288...313	G1
Q99581.53...101	G1
Q99697.18...44	G1
Q99717.20...40	G1
Q9BQ39.5...32	G1
Q9BRT9.50...75	G1
Q9BS31.2...39	G1
Q9BTV5.20...45	G1
Q9BUL5.1...35	G1
Q9BUY5.11...23	G1
Q9BUZ4.22...65	G1
Q9BV68.23...46	G1
Q9BV86.5...42	G1
Q9BWC9.5...31	G1
Q9BWG6.5...34	G1
Q9BWT6.7...33	G1
Q9BWV3.231...249	G1
Q9BX46.20...38	G1
Q9BXN6.15...56	G1
Q9BY31.881...902	G1
Q9BY66.23...35	G1
Q9BYG3.7...34	G1
Q9BYV6.6...41	G1
Q9BZ95.216...243	G1
Q9BZE2.304...330	G1
Q9BZF1.217...229	G1
Q9BZM3.195...224	G1
Q9BZR9.6...33	G1
Q9C0K7.19...37	G1
Q9GZR2.176...198	G1
Q9GZZ1.2...13	G1
Q9H0D6.485...510	G1
Q9H0E9.122...143	G1
Q9H116.499...506	G1
Q9H165.632...656	G1
Q9H171.21...37	G1
Q9H1I8.283...311	G1
Q9H1J1.24...45	G1
Q9H4I2.5...36	G1
Q9H4I2.95...122	G1
Q9H4I2.351...369	G1
Q9H5P4.80...92	G1
Q9H5V7.3...40	G1
Q9H611.6...47	G1
Q9H7B2.116...157	G1
Q9H7Z6.189...215	G1
Q9H816.216...228	G1
Q9H8M7.1...22	G1
Q9H8N7.157...170	G1
Q9H944.7...35	G1
Q9H9Q2.1...14	G1
Q9H9Y2.13...39	G1
Q9HAZ2.3...40	G1
Q9HAZ2.290...308	G1
Q9HBH9.5...12	G1
Q9HBU1.226...251	G1
Q9HCM9.96...123	G1
Q9HD15.2...24	G1
Q9NPJ8.18...42	G1
Q9NQ66.21...69	G1
Q9NQE9.93...111	G1
Q9NQR1.103...118	G1
Q9NQW5.78...103	G1
Q9NRN9.4...20	G1
Q9NS26.15...58	G1
Q9NS86.10...30	G1
Q9NSI8.272...283	G1
Q9NV31.7...25	G1
Q9NVI1.13...27	G1
Q9NVM9.18...35	G1
Q9NVM9.624...652	G1
Q9NW13.271...288	G1
Q9NW13.328...340	G1
Q9NWB1.150...175	G1
Q9NWH9.27...33	G1
Q9NWH9.83...105	G1
Q9NWS1.44...86	G1
Q9NWU2.1...18	G1
Q9NX01.11...38	G1
Q9NXL9.11...36	G1
Q9NXR8.65...80	G1
Q9NY87.15...57	G1
Q9NYB0.204...226	G1
Q9NYW8.513...536	G1
Q9NZH5.1...22	G1
Q9NZI8.1...24	G1
Q9NZM5.148...162	G1
Q9P255.25...43	G1
Q9P2K3.6...46	G1
Q9UBD5.50...72	G1
Q9UBQ5.4...36	G1
Q9UBT2.274...294	G1
Q9UBU8.61...83	G1
Q9UEW8.401...438	G1
Q9UGU0.1817...1839	G1
Q9UHH9.6...22	G1
Q9UI26.15...33	G1
Q9UIL8.6...42	G1
Q9UJA3.73...96	G1
Q9UJC5.18...40	G1
Q9UJW8.11...40	G1
Q9UJX5.6...24	G1
Q9UJX5.89...104	G1
Q9UK53.333...354	G1
Q9UKD1.153...165	G1
Q9UKG1.6...20	G1
Q9UKV3.52...62	G1
Q9ULD2.1162...1173	G1
Q9ULM3.56...75	G1
Q9ULU4.132...143	G1
Q9ULV3.261...279	G1
Q9UN30.122...134	G1
Q9UN81.144...156	G1
Q9UNI6.50...70	G1
Q9UNY4.162...179	G1
Q9UNZ2.342...357	G1
Q9UPG8.6...34	G1
Q9UPG8.245...265	G1
Q9UPQ4.3...19	G1
Q9UQ88.458...469	G1
Q9UQR0.28...40	G1
Q9Y224.1...34	G1
Q9Y230.258...277	G1
Q9Y265.164...189	G1
Q9Y2A4.66...77	G1
Q9Y2P7.18...36	G1
Q9Y2X3.7...37	G1
Q9Y3I0.1...15	G1
Q9Y3L3.29...49	G1
Q9Y483.85...102	G1
Q9Y4C8.927...948	G1
Q9Y4X4.18...44	G1
Q9Y580.18...38	G1
Q9Y5K5.8...25	G1
Q9Y5Q3.18...34	G1
Q9Y5Z9.4...33	G1
Q9Y696.5...23	G1
Q9Y6K1.765...778	G1
Q9Y6Q3.19...40	G1
Q9Y6R6.300...315	G1
Q9Y6R6.612...624	G1
A0A140G945.5...37	G2
A0A140G945.76...97	G2
A0A1W2PPM1.194...205	G2
A0A1W2PQ73.19...40	G2
A1E959.129...141	G2
A1L020.8...48	G2
A1L167.23...39	G2
A2RUB1.94...110	G2
A6NCW0.21...36	G2
A6NCW7.21...36	G2
A6ND36.43...49	G2
A6NHQ4.326...335	G2
A6NJ46.23...33	G2
A6NNA5.35...55	G2
A8MT65.15...26	G2
A8MT69.28...48	G2
A8MYZ6.1...41	G2
B1APH4.53...69	G2
B4DU55.19...41	G2
C9J2P7.23...35	G2
C9JJH3.23...35	G2
C9JLJ4.22...36	G2
C9JPN9.21...36	G2
C9JVI0.23...35	G2
D6R901.21...36	G2
D6R9N7.23...35	G2
D6RA61.23...35	G2
D6RBM5.23...35	G2
D6RBQ6.23...35	G2
D6RCP7.21...36	G2
D6RJB6.23...35	G2
E9PGG2.1...45	G2
O00141.59...72	G2
O00141.167...179	G2
O00141.289...303	G2
O00167.87...104	G2
O00231.6...23	G2
O00409.122...136	G2
O00442.113...136	G2
O00499.123...139	G2
O00560.4...37	G2
O00712.264...287	G2
O14744.11...26	G2
O14901.1...33	G2
O14977.1...21	G2
O14977.57...67	G2
O14979.192...203	G2
O14980.1...24	G2
O15015.18...41	G2
O15060.700...707	G2
O15084.16...39	G2
O15090.439...452	G2
O15160.1...20	G2
O15169.7...29	G2
O15304.86...104	G2
O15315.110...121	G2
O15379.52...79	G2
O15446.23...35	G2
O15446.354...366	G2
O43143.371...391	G2
O43294.2...25	G2
O43296.4...26	G2
O43301.174...181	G2
O43316.282...312	G2
O43345.645...651	G2
O43361.535...545	G2
O43427.82...101	G2
O43502.104...119	G2
O43566.143...165	G2
O43592.10...35	G2
O43670.55...68	G2
O43683.5...24	G2
O43745.61...71	G2
O43765.19...35	G2
O43918.70...83	G2
O43929.118...131	G2
O60291.55...69	G2
O60304.95...115	G2
O60393.1...25	G2
O60829.3...35	G2
O60870.4...11	G2
O60902.82...111	G2
O60907.313...325	G2
O60921.139...163	G2
O60934.586...603	G2
O75123.121...139	G2
O75131.1...44	G2
O75161.32...58	G2
O75362.65...87	G2
O75486.25...47	G2
O75541.129...135	G2
O75541.380...400	G2
O75689.277...295	G2
O75694.9...38	G2
O75840.62...79	G2
O75925.6...27	G2
O75943.189...197	G2
O94776.4...29	G2
O94829.52...73	G2
O94916.9...27	G2
O95072.330...343	G2
O95073.150...174	G2
O95104.1...21	G2
O95125.18...22	G2
O95232.3...25	G2
O95239.23...47	G2
O95273.75...91	G2
O95319.19...37	G2
O95365.435...446	G2
O95373.16...24	G2
O95476.107...137	G2
O95628.47...66	G2
O95639.1...35	G2
O95639.167...193	G2
O95707.86...102	G2
O95785.13...35	G2
P02489.5...37	G2
P02489.76...97	G2
P04150.313...321	G2
P04818.1...23	G2
P05067.158...173	G2
P05412.34...45	G2
P05771.405...426	G2
P07910.96...129	G2
P07992.251...271	G2
P08865.1...21	G2
P09016.2...25	G2
P09017.1...23	G2
P09211.4...38	G2
P09651.53...67	G2
P0C5Y9.76...92	G2
P0C5Z0.66...93	G2
P0C6A0.62...78	G2
P0C7I0.23...35	G2
P0C7X2.28...45	G2
P0C870.88...113	G2
P0CG47.189...213	G2
P0CG48.189...212	G2
P0CG48.266...288	G2
P0CI00.279...288	G2
P0DI81.2...29	G2
P0DI82.2...29	G2
P0DPD5.7...35	G2
P10244.455...472	G2
P10415.114...137	G2
P10588.1...33	G2
P10599.41...59	G2
P10828.250...264	G2
P11161.14...45	G2
P11308.173...190	G2
P11388.638...654	G2
P12272.71...82	G2
P12525.83...102	G2
P13010.50...68	G2
P13010.89...110	G2
P13010.165...176	G2
P13051.137...148	G2
P14316.2...23	G2
P14921.16...41	G2
P14921.421...437	G2
P15036.1...22	G2
P15531.7...25	G2
P15923.18...42	G2
P16333.81...103	G2
P17020.213...230	G2
P17031.21...41	G2
P17032.25...41	G2
P17036.19...25	G2
P17252.400...425	G2
P17480.28...45	G2
P17482.6...28	G2
P17483.6...30	G2
P17509.65...85	G2
P17612.152...183	G2
P17676.1...28	G2
P17947.2...24	G2
P18074.1...26	G2
P18146.14...44	G2
P19387.52...67	G2
P19525.21...35	G2
P19525.163...175	G2
P20248.12...41	G2
P20618.120...146	G2
P21506.11...42	G2
P22392.73...101	G2
P22415.213...223	G2
P23025.2...38	G2
P24385.5...24	G2
P24941.35...50	G2
P25787.8...37	G2
P25788.11...41	G2
P25800.1...21	G2
P26368.429...443	G2
P28066.18...42	G2
P29083.1...17	G2
P29692.18...40	G2
P30085.7...20	G2
P30281.119...133	G2
P31267.187...204	G2
P31274.16...31	G2
P31942.1...20	G2
P32780.88...101	G2
P35222.1...37	G2
P35680.1...26	G2
P35813.292...302	G2
P35916.186...196	G2
P36404.35...48	G2
P36404.90...100	G2
P36873.261...282	G2
P36954.50...75	G2
P37198.391...401	G2
P38159.48...73	G2
P39748.1...25	G2
P40121.70...85	G2
P40424.50...68	G2
P41182.200...218	G2
P42166.353...375	G2
P42285.488...496	G2
P43355.151...167	G2
P45983.225...239	G2
P46527.14...21	G2
P47712.33...73	G2
P47712.332...340	G2
P48382.63...81	G2
P48426.33...75	G2
P48730.84...101	G2
P49005.115...142	G2
P49321.22...34	G2
P49640.188...195	G2
P49674.83...101	G2
P49720.91...111	G2
P49796.204...219	G2
P49796.313...334	G2
P49917.147...165	G2
P50461.123...130	G2
P51523.40...54	G2
P51532.1616...1631	G2
P51617.26...46	G2
P51636.1...23	G2
P51692.40...70	G2
P51812.1...26	G2
P51843.311...321	G2
P51991.166...180	G2
P52298.79...104	G2
P52564.55...64	G2
P52564.92...102	G2
P52597.3...20	G2
P52655.3...36	G2
P52701.1058...1087	G2
P52951.251...259	G2
P52952.52...71	G2
P53671.97...107	G2
P53779.345...366	G2
P54252.152...176	G2
P54727.4...22	G2
P55072.26...47	G2
P55197.1...23	G2
P55197.119...132	G2
P55198.12...33	G2
P55273.42...74	G2
P56192.47...51	G2
P56192.165...185	G2
P57059.1...20	G2
P57678.20...39	G2
P57682.198...225	G2
P58340.1...24	G2
P60673.33...55	G2
P61599.1...41	G2
P61960.9...25	G2
P62136.1...23	G2
P62140.54...69	G2
P62140.259...280	G2
P62508.247...261	G2
P62937.3...24	G2
P63146.9...24	G2
P68036.41...54	G2
P78367.286...303	G2
P78406.25...36	G2
P78549.88...111	G2
P78560.63...76	G2
P81133.86...106	G2
P81877.75...101	G2
P82094.7...39	G2
P83876.8...36	G2
P98177.25...51	G2
P98179.51...70	G2
Q00056.3...33	G2
Q00403.25...51	G2
Q00444.11...33	G2
Q00978.218...235	G2
Q01543.6...35	G2
Q01664.167...177	G2
Q02156.653...666	G2
Q02446.90...120	G2
Q02535.21...43	G2
Q02556.206...217	G2
Q02880.1...42	G2
Q02962.235...270	G2
Q03014.27...42	G2
Q04726.509...530	G2
Q05048.283...293	G2
Q05086.52...65	G2
Q05BQ5.53...68	G2
Q06265.87...95	G2
Q07955.22...34	G2
Q08050.418...434	G2
Q12774.23...40	G2
Q12901.199...208	G2
Q12950.73...89	G2
Q12968.1...34	G2
Q13105.771...791	G2
Q13151.12...34	G2
Q13151.39...68	G2
Q13185.136...149	G2
Q13207.181...201	G2
Q13216.119...136	G2
Q13242.1...25	G2
Q13330.4...30	G2
Q13351.23...45	G2
Q13363.45...49	G2
Q13398.86...97	G2
Q13415.266...276	G2
Q13427.12...36	G2
Q13643.72...84	G2
Q13823.60...78	G2
Q13952.11...36	G2
Q14011.44...70	G2
Q14012.9...32	G2
Q14019.28...40	G2
Q14129.5...42	G2
Q14135.47...73	G2
Q14145.222...242	G2
Q14181.216...220	G2
Q14190.87...103	G2
Q14203.90...101	G2
Q14209.160...182	G2
Q14526.22...39	G2
Q14526.443...454	G2
Q14527.19...46	G2
Q14549.265...273	G2
Q14764.282...296	G2
Q14934.698...704	G2
Q14997.408...415	G2
Q15007.20...40	G2
Q15021.8...24	G2
Q15029.945...958	G2
Q15291.317...338	G2
Q15415.47...73	G2
Q15427.23...47	G2
Q15596.51...70	G2
Q15696.198...221	G2
Q15759.218...231	G2
Q15784.1...41	G2
Q15831.140...169	G2
Q15916.105...124	G2
Q16186.64...78	G2
Q16513.14...28	G2
Q16560.6...28	G2
Q16576.333...346	G2
Q16621.311...340	G2
Q16676.145...158	G2
Q1W6H9.10...22	G2
Q29RF7.51...75	G2
Q29RF7.284...291	G2
Q2M3W8.20...41	G2
Q2TB10.19...42	G2
Q2VIQ3.23...48	G2
Q2VWA4.303...323	G2
Q32P44.619...633	G2
Q32P51.54...66	G2
Q3KP66.72...99	G2
Q496M5.9...34	G2
Q4L180.88...95	G2
Q4VC44.47...74	G2
Q4W5G0.237...252	G2
Q53FT3.7...29	G2
Q53GL7.7...40	G2
Q53GS7.421...432	G2
Q53QV2.1...35	G2
Q562F6.151...168	G2
Q569K4.161...174	G2
Q5BJF2.20...42	G2
Q5D1E8.67...78	G2
Q5EBL2.622...636	G2
Q5FWF5.665...677	G2
Q5HYK7.735...740	G2
Q5JTH9.1269...1276	G2
Q5JVF3.10...24	G2
Q5JVG2.7...31	G2
Q5QJE6.718...727	G2
Q5SZQ8.59...70	G2
Q5T0L3.187...197	G2
Q5TC79.88...99	G2
Q5TCQ9.21...41	G2
Q5VZV1.172...193	G2
Q5XKR4.7...20	G2
Q68G74.76...92	G2
Q69YN4.6...17	G2
Q6AZZ1.55...65	G2
Q6I9Y2.50...77	G2
Q6NTE8.37...43	G2
Q6NVH7.11...42	G2
Q6NW34.100...122	G2
Q6P0N0.13...40	G2
Q6P2D8.261...290	G2
Q6P2E9.1...24	G2
Q6P2E9.318...335	G2
Q6P2M8.274...288	G2
Q6P6B7.115...130	G2
Q6P9A3.106...128	G2
Q6PJP8.603...617	G2
Q6PK81.11...38	G2
Q6R6M4.23...36	G2
Q6UWZ7.64...92	G2
Q6VVB1.91...98	G2
Q6VVB1.308...331	G2
Q6ZN04.373...386	G2
Q6ZN19.117...135	G2
Q6ZV50.211...235	G2
Q70IA6.105...130	G2
Q75N03.88...106	G2
Q7L5Y6.62...97	G2
Q7L9L4.120...137	G2
Q7RTZ2.21...36	G2
Q7Z398.4...21	G2
Q7Z3I7.19...37	G2
Q7Z4H9.13...46	G2
Q7Z4I7.23...37	G2
Q7Z4V0.5...22	G2
Q7Z4V5.164...187	G2
Q7Z5D8.132...144	G2
Q7Z614.94...114	G2
Q7Z6E9.8...22	G2
Q7Z6G8.1...18	G2
Q7Z6J4.13...37	G2
Q7Z6J9.261...284	G2
Q7Z713.85...103	G2
Q7Z7C7.14...42	G2
Q7Z7H3.138...149	G2
Q86T29.17...34	G2
Q86TI2.52...68	G2
Q86TP1.359...368	G2
Q86TU7.131...147	G2
Q86UQ0.277...291	G2
Q86UQ8.18...39	G2
Q86UV5.105...136	G2
Q86UY6.184...201	G2
Q86UZ6.97...106	G2
Q86V71.67...81	G2
Q86VP6.19...46	G2
Q86Y25.18...39	G2
Q86YL5.6...37	G2
Q8HWS3.2...21	G2
Q8IUM7.89...110	G2
Q8IUQ4.235...250	G2
Q8IV63.1...10	G2
Q8IWE4.146...171	G2
Q8IWV8.57...72	G2
Q8IXT1.291...307	G2
Q8IXT1.868...881	G2
Q8IY22.119...143	G2
Q8IYN0.23...39	G2
Q8IYX4.85...97	G2
Q8IZC7.21...37	G2
Q8IZL8.118...139	G2
Q8IZT9.2...27	G2
Q8N2I9.149...158	G2
Q8N2I9.382...393	G2
Q8N371.284...296	G2
Q8N6T7.5...26	G2
Q8N7Q3.373...382	G2
Q8N8E2.245...261	G2
Q8N8G2.1...45	G2
Q8N8Q3.235...245	G2
Q8N8U3.68...82	G2
Q8N9U0.23...37	G2
Q8NBB4.320...329	G2
Q8NBF1.108...137	G2
Q8NBF1.441...452	G2
Q8NBZ0.170...182	G2
Q8NC56.4...22	G2
Q8NCN4.25...73	G2
Q8NDG6.17...43	G2
Q8NDN9.21...40	G2
Q8NDN9.125...130	G2
Q8NDW4.19...35	G2
Q8NEJ9.1...23	G2
Q8NEU8.1...23	G2
Q8NEY3.4...18	G2
Q8NFG4.1...36	G2
Q8NFG4.60...84	G2
Q8NFU5.61...73	G2
Q8NHR7.11...42	G2
